task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
2,True,1.0,20,5,10,128,0.002,0.0,0.75
3,False,0.5802469253540039,20,5,10,128,0.002,0.0,0.75
4,False,0.9382716417312622,20,5,10,128,0.002,0.0,0.75
5,False,0.7222222089767456,20,5,10,128,0.002,0.0,0.75
6,False,0.8757396340370178,20,5,10,128,0.002,0.0,0.75
7,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
8,False,0.8482971787452698,20,5,10,128,0.002,0.0,0.75
9,False,0.221165269613266,20,5,10,128,0.002,0.0,0.75
10,False,0.9230769276618958,20,5,10,128,0.002,0.0,0.75
11,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
12,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
13,False,0.5555555820465088,20,5,10,128,0.002,0.0,0.75
14,False,0.8799999952316284,20,5,10,128,0.002,0.0,0.75
15,False,0.04777777940034866,20,5,10,128,0.002,0.0,0.75
16,False,0.8755555748939514,20,5,10,128,0.002,0.0,0.75
17,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
18,False,0.7709750533103943,20,5,10,128,0.002,0.0,0.75
19,False,0.8476190567016602,20,5,10,128,0.002,0.0,0.75
20,False,0.7199999690055847,20,5,10,128,0.002,0.0,0.75
21,False,0.9506173133850098,20,5,10,128,0.002,0.0,0.75
22,False,0.8899999856948853,20,5,10,128,0.002,0.0,0.75
23,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
24,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
25,False,0.9000000357627869,20,5,10,128,0.002,0.0,0.75
26,False,0.5259515643119812,20,5,10,128,0.002,0.0,0.75
27,True,1.0,20,5,10,128,0.002,0.0,0.75
28,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
29,False,0.8571428656578064,20,5,10,128,0.002,0.0,0.75
30,True,1.0,20,5,10,128,0.002,0.0,0.75
31,False,0.8611111044883728,20,5,10,128,0.002,0.0,0.75
32,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
33,False,0.2857142686843872,20,5,10,128,0.002,0.0,0.75
34,False,0.908906877040863,20,5,10,128,0.002,0.0,0.75
35,False,0.9653979539871216,20,5,10,128,0.002,0.0,0.75
36,False,0.6586538553237915,20,5,10,128,0.002,0.0,0.75
37,False,0.4935064911842346,20,5,10,128,0.002,0.0,0.75
38,False,0.46153849363327026,20,5,10,128,0.002,0.0,0.75
39,False,0.953125,20,5,10,128,0.002,0.0,0.75
40,False,0.9125000238418579,20,5,10,128,0.002,0.0,0.75
41,False,0.9600000381469727,20,5,10,128,0.002,0.0,0.75
42,False,0.7866666913032532,20,5,10,128,0.002,0.0,0.75
43,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
44,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
45,False,0.8934911489486694,20,5,10,128,0.002,0.0,0.75
46,True,1.0,20,5,10,128,0.002,0.0,0.75
47,False,0.8549999594688416,20,5,10,128,0.002,0.0,0.75
48,False,0.8499999642372131,20,5,10,128,0.002,0.0,0.75
49,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
50,False,0.7866666913032532,20,5,10,128,0.002,0.0,0.75
51,False,0.8199999928474426,20,5,10,128,0.002,0.0,0.75
52,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
53,False,0.8395061492919922,20,5,10,128,0.002,0.0,0.75
54,True,0.9999999403953552,20,5,10,128,0.002,0.0,0.75
55,False,0.75,20,5,10,128,0.002,0.0,0.75
56,False,0.9166666865348816,20,5,10,128,0.002,0.0,0.75
57,False,0.89453125,20,5,10,128,0.002,0.0,0.75
58,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
59,False,0.8198529481887817,20,5,10,128,0.002,0.0,0.75
60,False,0.8977273106575012,20,5,10,128,0.002,0.0,0.75
61,False,0.7799999713897705,20,5,10,128,0.002,0.0,0.75
62,False,0.9699999690055847,20,5,10,128,0.002,0.0,0.75
63,False,0.9215686321258545,20,5,10,128,0.002,0.0,0.75
64,False,0.846666693687439,20,5,10,128,0.002,0.0,0.75
65,False,0.910714328289032,20,5,10,128,0.002,0.0,0.75
66,True,1.0,20,5,10,128,0.002,0.0,0.75
67,False,0.7599999904632568,20,5,10,128,0.002,0.0,0.75
68,False,0.8165680766105652,20,5,10,128,0.002,0.0,0.75
69,False,0.03719007968902588,20,5,10,128,0.002,0.0,0.75
70,False,0.9871795177459717,20,5,10,128,0.002,0.0,0.75
71,False,0.9506173133850098,20,5,10,128,0.002,0.0,0.75
72,False,0.8999999761581421,20,5,10,128,0.002,0.0,0.75
73,False,0.8403362035751343,20,5,10,128,0.002,0.0,0.75
74,False,0.6871345043182373,20,5,10,128,0.002,0.0,0.75
75,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
76,False,0.9669421315193176,20,5,10,128,0.002,0.0,0.75
77,False,0.7575757503509521,20,5,10,128,0.002,0.0,0.75
78,False,0.9513888955116272,20,5,10,128,0.002,0.0,0.75
79,False,0.8148148059844971,20,5,10,128,0.002,0.0,0.75
80,True,1.0,20,5,10,128,0.002,0.0,0.75
81,False,0.7400000095367432,20,5,10,128,0.002,0.0,0.75
82,False,0.897569477558136,20,5,10,128,0.002,0.0,0.75
83,False,0.1111111119389534,20,5,10,128,0.002,0.0,0.75
84,False,0.9300000071525574,20,5,10,128,0.002,0.0,0.75
85,False,0.8299999833106995,20,5,10,128,0.002,0.0,0.75
86,False,0.6060606241226196,20,5,10,128,0.002,0.0,0.75
87,False,0.8395061492919922,20,5,10,128,0.002,0.0,0.75
88,False,0.7288889288902283,20,5,10,128,0.002,0.0,0.75
89,False,0.7699999809265137,20,5,10,128,0.002,0.0,0.75
90,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
91,False,0.8750000596046448,20,5,10,128,0.002,0.0,0.75
92,False,0.9333333969116211,20,5,10,128,0.002,0.0,0.75
93,False,0.8818181753158569,20,5,10,128,0.002,0.0,0.75
94,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
95,True,1.0,20,5,10,128,0.002,0.0,0.75
96,True,1.0,20,5,10,128,0.002,0.0,0.75
97,False,0.0,20,5,10,128,0.002,0.0,0.75
98,False,0.7407407164573669,20,5,10,128,0.002,0.0,0.75
99,False,0.9305555820465088,20,5,10,128,0.002,0.0,0.75
100,False,0.7478991746902466,20,5,10,128,0.002,0.0,0.75
101,False,0.8979591727256775,20,5,10,128,0.002,0.0,0.75
102,False,0.888888955116272,20,5,10,128,0.002,0.0,0.75
103,False,0.6785714030265808,20,5,10,128,0.002,0.0,0.75
104,False,0.8700000047683716,20,5,10,128,0.002,0.0,0.75
105,False,0.09693877398967743,20,5,10,128,0.002,0.0,0.75
106,False,0.23333334922790527,20,5,10,128,0.002,0.0,0.75
107,True,1.0,20,5,10,128,0.002,0.0,0.75
108,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.002,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.002,0.0,0.75
111,False,0.9595959782600403,20,5,10,128,0.002,0.0,0.75
112,False,0.40000003576278687,20,5,10,128,0.002,0.0,0.75
113,False,0.8374291062355042,20,5,10,128,0.002,0.0,0.75
114,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
115,False,0.9521530866622925,20,5,10,128,0.002,0.0,0.75
116,False,0.8888888955116272,20,5,10,128,0.002,0.0,0.75
117,False,0.7024793028831482,20,5,10,128,0.002,0.0,0.75
118,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
119,False,0.9600000381469727,20,5,10,128,0.002,0.0,0.75
120,False,0.9479166865348816,20,5,10,128,0.002,0.0,0.75
121,False,0.15789473056793213,20,5,10,128,0.002,0.0,0.75
122,True,1.0,20,5,10,128,0.002,0.0,0.75
