task,accuracy_delta
1,0.0
2,-0.12999999523162842
3,-0.012345671653747559
4,-0.04938271641731262
5,-0.027777791023254395
6,0.011834323406219482
7,0.0
8,-0.0835912823677063
9,-0.5707491040229797
10,-0.285714328289032
11,0.009999990463256836
12,-0.2222222238779068
13,-0.05555558204650879
14,0.10000002384185791
15,-0.8566666808910668
16,0.03555554151535034
17,0.0
18,-0.4943310618400574
19,-0.0952380895614624
20,-0.009999990463256836
21,-0.06172835826873779
22,-0.030000030994415283
23,-0.1319444179534912
24,0.029999971389770508
25,0.0
26,0.0
27,-0.2549019455909729
28,-0.06172841787338257
29,-0.0225563645362854
30,-0.04000002145767212
31,-0.07638883590698242
32,-0.030000030994415283
33,-0.20408163964748383
34,0.02226722240447998
35,-0.3425605297088623
36,0.08173078298568726
37,-0.7792207691818476
38,-0.09401711821556091
39,-0.0859375
40,-0.08750003576278687
41,-0.12000000476837158
42,0.0
43,-0.5399999618530273
44,0.06999999284744263
45,-0.09467458724975586
46,-0.43209874629974365
47,-0.10499995946884155
48,-0.09999996423721313
49,-0.29999998211860657
50,0.026666641235351562
51,-0.1344444453716278
52,0.0
53,-0.06172841787338257
54,0.0165289044380188
55,-0.013888895511627197
56,0.1527777910232544
57,0.01171875
58,-0.6299999952316284
59,-0.0625
60,0.07954543828964233
61,-0.1199999451637268
62,0.009999990463256836
63,-0.45098039507865906
64,-0.1066666841506958
65,-0.011904776096343994
66,-0.06666666269302368
67,-0.16999995708465576
68,-0.041420161724090576
69,-0.8533057570457458
70,0.04487180709838867
71,-0.6049382984638214
72,-0.045454561710357666
73,-0.09243696928024292
74,-0.44736844301223755
75,0.2999999523162842
76,-0.16528922319412231
77,-0.252525269985199
78,0.006944417953491211
79,0.07407408952713013
80,-0.2399999499320984
81,0.030000030994415283
82,0.005208313465118408
83,0.0
84,-0.3100000023841858
85,-0.04000002145767212
86,-0.022727251052856445
87,-0.08641970157623291
88,-0.02222222089767456
89,-0.039999961853027344
90,0.020000040531158447
91,-0.8708333969116211
92,-0.5333333611488342
93,0.009090900421142578
94,-0.07407402992248535
95,0.012345671653747559
96,-0.1975308656692505
97,0.0
98,-0.006734013557434082
99,-0.2569444179534912
100,-0.0028011202812194824
101,-0.06122446060180664
102,0.003968238830566406
103,-0.12857139110565186
104,-0.7199999690055847
105,-0.07653060555458069
106,-0.4000000189989805
107,0.0
108,0.14000004529953003
109,-0.111111119389534
110,-0.010000050067901611
111,-0.08080804347991943
112,-0.6196078956127167
113,-0.05293005704879761
114,0.1300000548362732
115,-0.4449760913848877
116,0.0
117,-0.3884297311306
118,-0.07999998331069946
119,-0.6711111068725586
120,-0.4375
121,-0.8575851321220398
122,-0.5625
123,-0.2799999713897705
124,-0.59375
125,-0.2380952537059784
126,-0.0476190447807312
127,-0.04000002145767212
128,-0.1203007698059082
129,-0.16326528787612915
130,0.037037014961242676
131,-0.08163265883922577
132,-0.25999996066093445
133,0.010000050067901611
134,0.0
135,-0.06000000238418579
136,-0.08641976118087769
137,-0.222222238779068
138,-0.1875
139,-0.24609375
140,0.00888890027999878
141,-0.1111111119389534
142,0.006535947322845459
143,-0.2849999964237213
144,-0.22352942824363708
145,-0.14792901277542114
146,-0.550000011920929
147,-0.5369822680950165
148,-0.13999998569488525
149,-0.7111111283302307
150,0.04000002145767212
151,0.04017859697341919
152,-0.13445377349853516
153,-0.3333333134651184
154,0.0
155,0.10000002384185791
156,-0.0158730149269104
157,0.027777791023254395
158,-0.017857134342193604
159,-0.050000011920928955
160,-0.0027701258659362793
161,0.039999961853027344
162,-0.29555556178092957
163,-0.47111111879348755
164,-0.019999980926513672
165,-0.1274999976158142
166,-0.15000003576278687
167,-0.2638888955116272
168,-0.009999990463256836
169,-0.4844444692134857
170,-0.059649109840393066
171,-0.17000001668930054
172,-0.18367347121238708
