task,accuracy_delta
1,-0.3333333432674408
2,0.0
3,-0.08641976118087769
4,-0.09876543283462524
5,0.027777791023254395
6,-0.005917191505432129
7,-0.1111111044883728
8,-0.0154799222946167
9,-0.243757426738739
10,0.005494534969329834
11,-0.11000001430511475
12,-0.3333333432674408
13,0.08333331346511841
14,0.019999980926513672
15,0.058888912200927734
16,0.0
17,-0.10000002384185791
18,0.05215424299240112
19,-0.01904761791229248
20,-0.050000011920928955
21,-0.012345671653747559
22,-0.10000002384185791
23,0.013888895511627197
24,-0.08000004291534424
25,-0.09999996423721313
26,0.0069203972816467285
27,-0.05882352590560913
28,0.0
29,-0.032581448554992676
30,-0.04000002145767212
31,0.0625
32,0.06999999284744263
33,0.0
34,-0.030364394187927246
35,-0.03806227445602417
36,0.04807698726654053
37,-0.350649356842041
38,-0.008546978235244751
39,0.0
40,-0.012499988079071045
41,-0.06000000238418579
42,-0.02222222089767456
43,0.019999980926513672
44,-0.050000011920928955
45,-0.02958577871322632
46,-0.07407408952713013
47,-0.08500003814697266
48,-0.020000040531158447
49,-0.009999990463256836
50,-0.0533333420753479
51,0.026666700839996338
52,0.0
53,-0.04938274621963501
54,-0.008264482021331787
55,0.0
56,-0.034722208976745605
57,-0.109375
58,0.039999961853027344
59,-0.16176468133926392
60,-0.045454561710357666
61,-0.019999980926513672
62,-0.010000050067901611
63,0.019607841968536377
64,-0.10666662454605103
65,0.005952417850494385
66,-0.0666666030883789
67,-0.17000001668930054
68,0.005917191505432129
69,-0.752066133543849
70,0.9743589758872986
71,-0.06172841787338257
72,-5.960464477539063e-08
73,0.0
74,-0.026315748691558838
75,-0.06000000238418579
76,0.008264422416687012
77,-0.03030306100845337
78,0.020833313465118408
79,0.0
80,0.0
81,-0.09999996423721313
82,0.008680582046508789
83,0.0
84,-0.019999980926513672
85,-0.04000002145767212
86,-0.12878787517547607
87,-0.037037014961242676
88,-0.1155555248260498
89,-0.10000002384185791
90,0.059999942779541016
91,0.06250005960464478
92,-0.0666666030883789
93,-0.009090900421142578
94,-0.018518507480621338
95,0.0
96,0.0
97,0.0
98,0.16498315334320068
99,-0.04166668653488159
100,0.016806721687316895
101,0.020408153533935547
102,0.015873074531555176
103,-0.12857145071029663
104,0.0
105,-0.05612244829535484
106,0.06666669249534607
107,0.0
108,0.029999971389770508
109,0.0
110,-0.05000007152557373
111,0.010101020336151123
112,-0.10980391502380371
113,-0.1039697527885437
114,-0.009999990463256836
115,-0.002392411231994629
116,0.0
117,0.07438009977340698
118,-0.04000002145767212
119,-0.24000000953674316
120,0.031250059604644775
121,0.03405570983886719
122,0.0
123,0.0
124,-0.44921875
125,0.0
126,5.960464477539063e-08
127,0.06999993324279785
128,-0.6340851932764053
129,-0.04081636667251587
130,-0.07407408952713013
131,-0.18367347121238708
132,0.039999961853027344
133,0.04249995946884155
134,0.0
135,-5.960464477539063e-08
136,-0.037037014961242676
137,-0.027777791023254395
138,0.0625
139,-0.18359375
140,-0.022222161293029785
141,-0.3333333432674408
142,-0.049019575119018555
143,-0.1274999976158142
144,5.960464477539063e-08
145,-0.005917191505432129
146,0.009999990463256836
147,0.06508880853652954
148,-5.960464477539063e-08
149,-0.30666667222976685
150,0.04000002145767212
151,-0.08928567171096802
152,0.012605071067810059
153,-0.006944417953491211
154,0.014705896377563477
155,0.0
156,0.079365074634552
157,-0.02777773141860962
158,-0.08928573131561279
159,0.039999961853027344
160,-0.0027701258659362793
161,-0.01777780055999756
162,-0.3855555057525635
163,-0.06666666269302368
164,-5.960464477539063e-08
165,-0.022500038146972656
166,-0.06999999284744263
167,0.034722208976745605
168,-0.050000011920928955
169,-0.09777778387069702
170,-0.07719296216964722
171,0.029999971389770508
172,-0.020408213138580322
