task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
119,False,0.6666666865348816,False,4,20,5,10,128,0.01,0,0.0,0.75
120,False,0.8958333730697632,False,4,20,5,10,128,0.01,0,0.0,0.75
121,False,0.8730649948120117,False,4,20,5,10,128,0.01,0,0.0,0.75
122,False,0.9375,False,4,20,5,10,128,0.01,0,0.0,0.75
123,False,0.9199999570846558,False,4,20,5,10,128,0.01,0,0.0,0.75
124,False,0.68359375,False,4,20,5,10,128,0.01,0,0.0,0.75
125,False,0.8095238208770752,False,4,20,5,10,128,0.01,0,0.0,0.75
126,False,0.888888955116272,False,4,20,5,10,128,0.01,0,0.0,0.75
127,False,0.8499999642372131,False,4,20,5,10,128,0.01,0,0.0,0.75
128,False,0.9298245310783386,False,4,20,5,10,128,0.01,0,0.0,0.75
129,False,0.918367326259613,False,4,20,5,10,128,0.01,0,0.0,0.75
130,False,0.8518518805503845,False,4,20,5,10,128,0.01,0,0.0,0.75
131,False,0.22448979318141937,False,4,20,5,10,128,0.01,0,0.0,0.75
132,False,0.6649999618530273,False,4,20,5,10,128,0.01,0,0.0,0.75
133,False,0.8924999833106995,False,4,20,5,10,128,0.01,0,0.0,0.75
134,False,0.9166666865348816,False,4,20,5,10,128,0.01,0,0.0,0.75
135,False,0.7899999618530273,False,4,20,5,10,128,0.01,0,0.0,0.75
136,False,0.8518518805503845,False,4,20,5,10,128,0.01,0,0.0,0.75
137,False,0.75,False,4,20,5,10,128,0.01,0,0.0,0.75
138,False,0.25,False,4,20,5,10,128,0.01,0,0.0,0.75
139,False,0.5859375,False,4,20,5,10,128,0.01,0,0.0,0.75
140,False,0.9600000381469727,False,4,20,5,10,128,0.01,0,0.0,0.75
141,False,0.0,False,4,20,5,10,128,0.01,0,0.0,0.75
142,False,0.843137264251709,False,4,20,5,10,128,0.01,0,0.0,0.75
143,False,0.5450000166893005,False,4,20,5,10,128,0.01,0,0.0,0.75
144,False,0.5529412031173706,False,4,20,5,10,128,0.01,0,0.0,0.75
145,False,0.9053254723548889,False,4,20,5,10,128,0.01,0,0.0,0.75
146,False,0.8700000047683716,False,4,20,5,10,128,0.01,0,0.0,0.75
147,False,0.9467455744743347,False,4,20,5,10,128,0.01,0,0.0,0.75
148,False,0.7999999523162842,False,4,20,5,10,128,0.01,0,0.0,0.75
149,False,0.7866666913032532,False,4,20,5,10,128,0.01,0,0.0,0.75
150,False,0.7599999904632568,False,4,20,5,10,128,0.01,0,0.0,0.75
151,False,0.8035714626312256,False,4,20,5,10,128,0.01,0,0.0,0.75
152,False,0.8991597294807434,False,4,20,5,10,128,0.01,0,0.0,0.75
153,False,0.9409722089767456,False,4,20,5,10,128,0.01,0,0.0,0.75
154,False,0.7009804248809814,False,4,20,5,10,128,0.01,0,0.0,0.75
155,False,0.6200000047683716,False,4,20,5,10,128,0.01,0,0.0,0.75
156,False,0.9002267718315125,False,4,20,5,10,128,0.01,0,0.0,0.75
157,False,0.7936508655548096,False,4,20,5,10,128,0.01,0,0.0,0.75
158,False,0.7321428656578064,False,4,20,5,10,128,0.01,0,0.0,0.75
159,False,0.9699999690055847,False,4,20,5,10,128,0.01,0,0.0,0.75
160,False,0.8725761771202087,False,4,20,5,10,128,0.01,0,0.0,0.75
161,False,0.902222216129303,False,4,20,5,10,128,0.01,0,0.0,0.75
162,False,0.8600000143051147,False,4,20,5,10,128,0.01,0,0.0,0.75
163,False,0.7822222709655762,False,4,20,5,10,128,0.01,0,0.0,0.75
164,False,0.6800000071525574,False,4,20,5,10,128,0.01,0,0.0,0.75
165,False,0.9174999594688416,False,4,20,5,10,128,0.01,0,0.0,0.75
166,False,0.8199999928474426,False,4,20,5,10,128,0.01,0,0.0,0.75
167,False,0.9375,False,4,20,5,10,128,0.01,0,0.0,0.75
168,False,0.699999988079071,False,4,20,5,10,128,0.01,0,0.0,0.75
169,False,0.7911111116409302,False,4,20,5,10,128,0.01,0,0.0,0.75
170,False,0.7438596487045288,False,4,20,5,10,128,0.01,0,0.0,0.75
171,False,0.7899999618530273,False,4,20,5,10,128,0.01,0,0.0,0.75
172,False,0.6479591727256775,False,4,20,5,10,128,0.01,0,0.0,0.75
