task,solved,final_pixel_accuracy,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.0,4,20,5,10,128,0.1,0,0.0,0.75
2,False,0.9300000071525574,4,20,5,10,128,0.1,0,0.0,0.75
3,False,0.6172839403152466,4,20,5,10,128,0.1,0,0.0,0.75
4,False,0.5061728358268738,4,20,5,10,128,0.1,0,0.0,0.75
5,False,0.8055555820465088,4,20,5,10,128,0.1,0,0.0,0.75
6,False,0.88165682554245,4,20,5,10,128,0.1,0,0.0,0.75
7,False,0.7777777910232544,4,20,5,10,128,0.1,0,0.0,0.75
8,False,0.866873025894165,4,20,5,10,128,0.1,0,0.0,0.75
9,False,0.8810939192771912,4,20,5,10,128,0.1,0,0.0,0.75
10,False,0.8186813592910767,4,20,5,10,128,0.1,0,0.0,0.75
11,False,0.429999977350235,4,20,5,10,128,0.1,0,0.0,0.75
12,False,0.4444444477558136,4,20,5,10,128,0.1,0,0.0,0.75
13,False,0.6666666865348816,4,20,5,10,128,0.1,0,0.0,0.75
14,False,0.7099999785423279,4,20,5,10,128,0.1,0,0.0,0.75
15,False,0.9166666865348816,4,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8844444751739502,4,20,5,10,128,0.1,0,0.0,0.75
17,False,0.9399999976158142,4,20,5,10,128,0.1,0,0.0,0.75
18,False,0.956916093826294,4,20,5,10,128,0.1,0,0.0,0.75
19,False,0.9428572058677673,4,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7999999523162842,4,20,5,10,128,0.1,0,0.0,0.75
21,False,0.5555555820465088,4,20,5,10,128,0.1,0,0.0,0.75
22,False,0.8199999928474426,4,20,5,10,128,0.1,0,0.0,0.75
23,False,0.8333333134651184,4,20,5,10,128,0.1,0,0.0,0.75
24,False,0.9099999666213989,4,20,5,10,128,0.1,0,0.0,0.75
25,False,0.8500000238418579,4,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5813149213790894,4,20,5,10,128,0.1,0,0.0,0.75
27,False,0.8235294222831726,4,20,5,10,128,0.1,0,0.0,0.75
28,False,0.8271604776382446,4,20,5,10,128,0.1,0,0.0,0.75
29,False,0.859649121761322,4,20,5,10,128,0.1,0,0.0,0.75
30,False,0.7699999809265137,4,20,5,10,128,0.1,0,0.0,0.75
31,False,0.9583333134651184,4,20,5,10,128,0.1,0,0.0,0.75
32,False,0.75,4,20,5,10,128,0.1,0,0.0,0.75
33,False,0.3265306055545807,4,20,5,10,128,0.1,0,0.0,0.75
34,False,0.9635627865791321,4,20,5,10,128,0.1,0,0.0,0.75
35,False,0.9723183512687683,4,20,5,10,128,0.1,0,0.0,0.75
36,False,0.6682692766189575,4,20,5,10,128,0.1,0,0.0,0.75
37,False,0.29870128631591797,4,20,5,10,128,0.1,0,0.0,0.75
38,False,0.5213675498962402,4,20,5,10,128,0.1,0,0.0,0.75
39,False,0.69140625,4,20,5,10,128,0.1,0,0.0,0.75
40,False,0.875,4,20,5,10,128,0.1,0,0.0,0.75
41,False,0.9333333373069763,4,20,5,10,128,0.1,0,0.0,0.75
42,False,0.893333375453949,4,20,5,10,128,0.1,0,0.0,0.75
43,False,0.019999999552965164,4,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8199999928474426,4,20,5,10,128,0.1,0,0.0,0.75
45,False,0.9289941191673279,4,20,5,10,128,0.1,0,0.0,0.75
46,False,0.48148149251937866,4,20,5,10,128,0.1,0,0.0,0.75
47,False,0.9749999642372131,4,20,5,10,128,0.1,0,0.0,0.75
48,False,0.85999995470047,4,20,5,10,128,0.1,0,0.0,0.75
49,False,0.7599999904632568,4,20,5,10,128,0.1,0,0.0,0.75
50,False,0.7599999904632568,4,20,5,10,128,0.1,0,0.0,0.75
51,False,0.5211111307144165,4,20,5,10,128,0.1,0,0.0,0.75
52,False,0.0,4,20,5,10,128,0.1,0,0.0,0.75
53,False,0.9259259104728699,4,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9834710359573364,4,20,5,10,128,0.1,0,0.0,0.75
55,False,0.7222222089767456,4,20,5,10,128,0.1,0,0.0,0.75
56,False,0.9305555820465088,4,20,5,10,128,0.1,0,0.0,0.75
57,False,0.90625,4,20,5,10,128,0.1,0,0.0,0.75
58,False,0.9599999785423279,4,20,5,10,128,0.1,0,0.0,0.75
59,False,0.8235294222831726,4,20,5,10,128,0.1,0,0.0,0.75
60,False,0.7272727489471436,4,20,5,10,128,0.1,0,0.0,0.75
61,False,0.9199999570846558,4,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9199999570846558,4,20,5,10,128,0.1,0,0.0,0.75
63,False,0.7647058963775635,4,20,5,10,128,0.1,0,0.0,0.75
64,False,0.6666666865348816,4,20,5,10,128,0.1,0,0.0,0.75
65,False,0.9047619104385376,4,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8000000715255737,4,20,5,10,128,0.1,0,0.0,0.75
67,False,0.9199999570846558,4,20,5,10,128,0.1,0,0.0,0.75
68,False,0.8934911489486694,4,20,5,10,128,0.1,0,0.0,0.75
69,False,0.8842974901199341,4,20,5,10,128,0.1,0,0.0,0.75
70,False,0.9102564454078674,4,20,5,10,128,0.1,0,0.0,0.75
71,False,0.9320987462997437,4,20,5,10,128,0.1,0,0.0,0.75
72,False,0.8909090757369995,4,20,5,10,128,0.1,0,0.0,0.75
73,False,0.9159664511680603,4,20,5,10,128,0.1,0,0.0,0.75
74,False,0.8684210777282715,4,20,5,10,128,0.1,0,0.0,0.75
75,False,0.8199999928474426,4,20,5,10,128,0.1,0,0.0,0.75
76,False,0.7355371713638306,4,20,5,10,128,0.1,0,0.0,0.75
77,False,0.8181818127632141,4,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9652777910232544,4,20,5,10,128,0.1,0,0.0,0.75
79,False,0.7160493731498718,4,20,5,10,128,0.1,0,0.0,0.75
80,False,0.6399999856948853,4,20,5,10,128,0.1,0,0.0,0.75
81,False,0.7999999523162842,4,20,5,10,128,0.1,0,0.0,0.75
82,False,0.9340277910232544,4,20,5,10,128,0.1,0,0.0,0.75
83,False,0.4444444477558136,4,20,5,10,128,0.1,0,0.0,0.75
84,False,0.9099999666213989,4,20,5,10,128,0.1,0,0.0,0.75
85,False,0.7899999618530273,4,20,5,10,128,0.1,0,0.0,0.75
86,False,0.5909091234207153,4,20,5,10,128,0.1,0,0.0,0.75
87,False,0.7407407760620117,4,20,5,10,128,0.1,0,0.0,0.75
88,False,0.45777779817581177,4,20,5,10,128,0.1,0,0.0,0.75
89,False,0.7999999523162842,4,20,5,10,128,0.1,0,0.0,0.75
90,False,0.85999995470047,4,20,5,10,128,0.1,0,0.0,0.75
91,False,0.8666667342185974,4,20,5,10,128,0.1,0,0.0,0.75
92,False,0.46666669845581055,4,20,5,10,128,0.1,0,0.0,0.75
93,False,0.9454545378684998,4,20,5,10,128,0.1,0,0.0,0.75
94,False,0.9074074029922485,4,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,4,20,5,10,128,0.1,0,0.0,0.75
96,False,0.7160493731498718,4,20,5,10,128,0.1,0,0.0,0.75
97,False,0.3333333432674408,4,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8215488195419312,4,20,5,10,128,0.1,0,0.0,0.75
99,False,0.9027777910232544,4,20,5,10,128,0.1,0,0.0,0.75
100,False,0.8039215803146362,4,20,5,10,128,0.1,0,0.0,0.75
101,False,0.714285671710968,4,20,5,10,128,0.1,0,0.0,0.75
102,False,0.9047619700431824,4,20,5,10,128,0.1,0,0.0,0.75
103,False,0.7785714268684387,4,20,5,10,128,0.1,0,0.0,0.75
104,False,0.7199999690055847,4,20,5,10,128,0.1,0,0.0,0.75
105,False,0.20408162474632263,4,20,5,10,128,0.1,0,0.0,0.75
106,False,0.1666666716337204,4,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,4,20,5,10,128,0.1,0,0.0,0.75
108,False,0.75,4,20,5,10,128,0.1,0,0.0,0.75
109,False,0.3333333432674408,4,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,4,20,5,10,128,0.1,0,0.0,0.75
111,False,0.8787878751754761,4,20,5,10,128,0.1,0,0.0,0.75
112,False,0.9372549653053284,4,20,5,10,128,0.1,0,0.0,0.75
113,False,0.9262760281562805,4,20,5,10,128,0.1,0,0.0,0.75
114,False,0.9300000071525574,4,20,5,10,128,0.1,0,0.0,0.75
115,False,0.9593300819396973,4,20,5,10,128,0.1,0,0.0,0.75
116,False,0.6666666865348816,4,20,5,10,128,0.1,0,0.0,0.75
117,False,0.5289255976676941,4,20,5,10,128,0.1,0,0.0,0.75
118,False,0.8899999856948853,4,20,5,10,128,0.1,0,0.0,0.75
119,False,0.46222221851348877,4,20,5,10,128,0.1,0,0.0,0.75
120,False,0.90625,4,20,5,10,128,0.1,0,0.0,0.75
121,False,0.8792569637298584,4,20,5,10,128,0.1,0,0.0,0.75
122,False,0.8125,4,20,5,10,128,0.1,0,0.0,0.75
123,False,0.8399999737739563,4,20,5,10,128,0.1,0,0.0,0.75
124,False,0.5078125,4,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,4,20,5,10,128,0.1,0,0.0,0.75
126,False,0.9047619700431824,4,20,5,10,128,0.1,0,0.0,0.75
127,False,0.8700000047683716,4,20,5,10,128,0.1,0,0.0,0.75
128,False,0.9548872113227844,4,20,5,10,128,0.1,0,0.0,0.75
129,False,0.918367326259613,4,20,5,10,128,0.1,0,0.0,0.75
130,False,0.8395061492919922,4,20,5,10,128,0.1,0,0.0,0.75
131,False,0.22448979318141937,4,20,5,10,128,0.1,0,0.0,0.75
