task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
82,False,0.890625,False,4,20,5,10,128,0.1,0,0.0,0.75
83,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
84,False,0.5999999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
85,False,0.699999988079071,False,4,20,5,10,128,0.1,0,0.0,0.75
86,False,0.5454545617103577,False,4,20,5,10,128,0.1,0,0.0,0.75
87,False,0.8888888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
88,False,0.7288889288902283,False,4,20,5,10,128,0.1,0,0.0,0.75
89,False,0.8499999642372131,False,4,20,5,10,128,0.1,0,0.0,0.75
90,False,0.85999995470047,False,4,20,5,10,128,0.1,0,0.0,0.75
91,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
92,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
93,False,0.8909090757369995,False,4,20,5,10,128,0.1,0,0.0,0.75
94,False,0.7222222089767456,False,4,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
96,False,0.654321014881134,False,4,20,5,10,128,0.1,0,0.0,0.75
97,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8148148059844971,False,4,20,5,10,128,0.1,0,0.0,0.75
99,False,0.6527777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
100,False,0.7478991746902466,False,4,20,5,10,128,0.1,0,0.0,0.75
101,False,0.918367326259613,False,4,20,5,10,128,0.1,0,0.0,0.75
102,False,0.8571429252624512,False,4,20,5,10,128,0.1,0,0.0,0.75
103,False,0.6428571343421936,False,4,20,5,10,128,0.1,0,0.0,0.75
104,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
105,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
106,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
108,False,0.75,False,4,20,5,10,128,0.1,0,0.0,0.75
109,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,False,4,20,5,10,128,0.1,0,0.0,0.75
111,False,0.7373737096786499,False,4,20,5,10,128,0.1,0,0.0,0.75
112,False,0.08235294371843338,False,4,20,5,10,128,0.1,0,0.0,0.75
113,False,0.8374291062355042,False,4,20,5,10,128,0.1,0,0.0,0.75
114,False,0.5199999809265137,False,4,20,5,10,128,0.1,0,0.0,0.75
115,False,0.4449760615825653,False,4,20,5,10,128,0.1,0,0.0,0.75
116,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
117,False,0.3719007968902588,False,4,20,5,10,128,0.1,0,0.0,0.75
118,False,0.7699999809265137,False,4,20,5,10,128,0.1,0,0.0,0.75
119,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
120,False,0.4375,False,4,20,5,10,128,0.1,0,0.0,0.75
121,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
122,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
123,False,0.7199999690055847,False,4,20,5,10,128,0.1,0,0.0,0.75
124,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,False,4,20,5,10,128,0.1,0,0.0,0.75
126,False,0.80952388048172,False,4,20,5,10,128,0.1,0,0.0,0.75
127,False,0.7899999618530273,False,4,20,5,10,128,0.1,0,0.0,0.75
128,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
129,False,0.6734693646430969,False,4,20,5,10,128,0.1,0,0.0,0.75
130,False,0.790123462677002,False,4,20,5,10,128,0.1,0,0.0,0.75
131,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
132,False,0.4050000011920929,False,4,20,5,10,128,0.1,0,0.0,0.75
133,False,0.8675000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9038461446762085,False,4,20,5,10,128,0.1,0,0.0,0.75
135,False,0.3999999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
136,False,0.7777777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
137,False,0.6388888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
