task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
81,False,0.7999999523162842,False,4,20,5,10,128,0.1,0,0.0,0.75
82,False,0.9340277910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
83,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
84,False,0.9099999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
85,False,0.7899999618530273,False,4,20,5,10,128,0.1,0,0.0,0.75
86,False,0.5909091234207153,False,4,20,5,10,128,0.1,0,0.0,0.75
87,False,0.7407407760620117,False,4,20,5,10,128,0.1,0,0.0,0.75
88,False,0.45777779817581177,False,4,20,5,10,128,0.1,0,0.0,0.75
89,False,0.7999999523162842,False,4,20,5,10,128,0.1,0,0.0,0.75
90,False,0.85999995470047,False,4,20,5,10,128,0.1,0,0.0,0.75
91,False,0.13333334028720856,False,4,20,5,10,128,0.1,0,0.0,0.75
92,True,1.0,False,4,20,5,10,128,0.1,0,0.0,0.75
93,False,0.9454545378684998,False,4,20,5,10,128,0.1,0,0.0,0.75
94,False,0.9074074029922485,False,4,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
96,False,0.7160493731498718,False,4,20,5,10,128,0.1,0,0.0,0.75
97,False,0.3333333432674408,False,4,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8215488195419312,False,4,20,5,10,128,0.1,0,0.0,0.75
99,False,0.9027777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
100,False,0.8039215803146362,False,4,20,5,10,128,0.1,0,0.0,0.75
101,False,0.7551020383834839,False,4,20,5,10,128,0.1,0,0.0,0.75
102,False,0.9047619700431824,False,4,20,5,10,128,0.1,0,0.0,0.75
103,False,0.7785714268684387,False,4,20,5,10,128,0.1,0,0.0,0.75
104,False,0.7199999690055847,False,4,20,5,10,128,0.1,0,0.0,0.75
105,False,0.19897958636283875,False,4,20,5,10,128,0.1,0,0.0,0.75
106,False,0.1666666716337204,False,4,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
108,False,0.75,False,4,20,5,10,128,0.1,0,0.0,0.75
109,False,0.2222222238779068,False,4,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,False,4,20,5,10,128,0.1,0,0.0,0.75
111,False,0.8787878751754761,False,4,20,5,10,128,0.1,0,0.0,0.75
112,False,0.9372549653053284,False,4,20,5,10,128,0.1,0,0.0,0.75
113,False,0.9262760281562805,False,4,20,5,10,128,0.1,0,0.0,0.75
114,False,0.9300000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
115,False,0.9377990365028381,False,4,20,5,10,128,0.1,0,0.0,0.75
116,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
117,False,0.586776852607727,False,4,20,5,10,128,0.1,0,0.0,0.75
118,False,0.8899999856948853,False,4,20,5,10,128,0.1,0,0.0,0.75
119,False,0.46222221851348877,False,4,20,5,10,128,0.1,0,0.0,0.75
120,False,0.90625,False,4,20,5,10,128,0.1,0,0.0,0.75
121,False,0.8792569637298584,False,4,20,5,10,128,0.1,0,0.0,0.75
122,False,0.4375,False,4,20,5,10,128,0.1,0,0.0,0.75
123,False,0.8399999737739563,False,4,20,5,10,128,0.1,0,0.0,0.75
124,False,0.45703125,False,4,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,False,4,20,5,10,128,0.1,0,0.0,0.75
126,False,0.9047619700431824,False,4,20,5,10,128,0.1,0,0.0,0.75
127,False,0.8700000047683716,False,4,20,5,10,128,0.1,0,0.0,0.75
128,False,0.9548872113227844,False,4,20,5,10,128,0.1,0,0.0,0.75
129,False,0.918367326259613,False,4,20,5,10,128,0.1,0,0.0,0.75
130,False,0.8395061492919922,False,4,20,5,10,128,0.1,0,0.0,0.75
131,False,0.22448979318141937,False,4,20,5,10,128,0.1,0,0.0,0.75
132,False,0.6649999618530273,False,4,20,5,10,128,0.1,0,0.0,0.75
133,False,0.887499988079071,False,4,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9166666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
135,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
136,False,0.8888888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
137,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
138,False,0.3125,False,4,20,5,10,128,0.1,0,0.0,0.75
139,False,0.484375,False,4,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9600000381469727,False,4,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
142,False,0.843137264251709,False,4,20,5,10,128,0.1,0,0.0,0.75
143,False,0.5649999976158142,False,4,20,5,10,128,0.1,0,0.0,0.75
144,False,0.5529412031173706,False,4,20,5,10,128,0.1,0,0.0,0.75
145,False,0.9053254723548889,False,4,20,5,10,128,0.1,0,0.0,0.75
146,False,0.8799999952316284,False,4,20,5,10,128,0.1,0,0.0,0.75
147,False,0.9467455744743347,False,4,20,5,10,128,0.1,0,0.0,0.75
148,False,0.7999999523162842,False,4,20,5,10,128,0.1,0,0.0,0.75
149,False,0.7866666913032532,False,4,20,5,10,128,0.1,0,0.0,0.75
150,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8035714626312256,False,4,20,5,10,128,0.1,0,0.0,0.75
152,False,0.9033613801002502,False,4,20,5,10,128,0.1,0,0.0,0.75
153,False,0.9479166865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
154,False,0.7009804248809814,False,4,20,5,10,128,0.1,0,0.0,0.75
155,False,0.5799999833106995,False,4,20,5,10,128,0.1,0,0.0,0.75
156,False,0.9024943709373474,False,4,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7936508655548096,False,4,20,5,10,128,0.1,0,0.0,0.75
158,False,0.7142857313156128,False,4,20,5,10,128,0.1,0,0.0,0.75
159,False,0.9599999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
160,False,0.8753462433815002,False,4,20,5,10,128,0.1,0,0.0,0.75
161,False,0.9111111164093018,False,4,20,5,10,128,0.1,0,0.0,0.75
162,False,0.6966666579246521,False,4,20,5,10,128,0.1,0,0.0,0.75
163,False,0.7822222709655762,False,4,20,5,10,128,0.1,0,0.0,0.75
164,False,0.6499999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
165,False,0.8999999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
166,False,0.8399999737739563,False,4,20,5,10,128,0.1,0,0.0,0.75
167,False,0.9375,False,4,20,5,10,128,0.1,0,0.0,0.75
168,False,0.7099999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
169,False,0.8311111330986023,False,4,20,5,10,128,0.1,0,0.0,0.75
170,False,0.7456140518188477,False,4,20,5,10,128,0.1,0,0.0,0.75
171,False,0.8700000047683716,False,4,20,5,10,128,0.1,0,0.0,0.75
172,False,0.6785714030265808,False,4,20,5,10,128,0.1,0,0.0,0.75
