task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
92,False,0.0,20,5,10,128,0.1,0,0.0,0.75
93,False,0.9090908765792847,20,5,10,128,0.1,0,0.0,0.75
94,False,0.7407407760620117,20,5,10,128,0.1,0,0.0,0.75
95,False,0.5555555820465088,20,5,10,128,0.1,0,0.0,0.75
96,False,0.7037037014961243,20,5,10,128,0.1,0,0.0,0.75
97,False,0.0,20,5,10,128,0.1,0,0.0,0.75
98,False,0.8148148059844971,20,5,10,128,0.1,0,0.0,0.75
99,False,0.6527777910232544,20,5,10,128,0.1,0,0.0,0.75
100,False,0.7871148586273193,20,5,10,128,0.1,0,0.0,0.75
101,False,0.6530612111091614,20,5,10,128,0.1,0,0.0,0.75
102,False,0.8849206566810608,20,5,10,128,0.1,0,0.0,0.75
103,False,0.6857143044471741,20,5,10,128,0.1,0,0.0,0.75
104,False,0.0,20,5,10,128,0.1,0,0.0,0.75
105,False,0.06122449040412903,20,5,10,128,0.1,0,0.0,0.75
106,False,0.01666666753590107,20,5,10,128,0.1,0,0.0,0.75
107,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
108,False,0.8100000023841858,20,5,10,128,0.1,0,0.0,0.75
109,False,0.2222222238779068,20,5,10,128,0.1,0,0.0,0.75
110,False,0.9199999570846558,20,5,10,128,0.1,0,0.0,0.75
111,False,0.8383838534355164,20,5,10,128,0.1,0,0.0,0.75
112,False,0.2392157018184662,20,5,10,128,0.1,0,0.0,0.75
113,False,0.8374291062355042,20,5,10,128,0.1,0,0.0,0.75
114,False,0.9300000071525574,20,5,10,128,0.1,0,0.0,0.75
115,False,0.4904305934906006,20,5,10,128,0.1,0,0.0,0.75
116,False,0.6666666865348816,20,5,10,128,0.1,0,0.0,0.75
117,False,0.21487602591514587,20,5,10,128,0.1,0,0.0,0.75
118,False,0.7799999713897705,20,5,10,128,0.1,0,0.0,0.75
119,False,0.0,20,5,10,128,0.1,0,0.0,0.75
120,False,0.4375,20,5,10,128,0.1,0,0.0,0.75
121,False,0.0,20,5,10,128,0.1,0,0.0,0.75
122,False,0.4375,20,5,10,128,0.1,0,0.0,0.75
123,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
124,False,0.0625,20,5,10,128,0.1,0,0.0,0.75
125,False,0.4761904776096344,20,5,10,128,0.1,0,0.0,0.75
126,False,0.80952388048172,20,5,10,128,0.1,0,0.0,0.75
127,False,0.7899999618530273,20,5,10,128,0.1,0,0.0,0.75
128,False,0.8120300769805908,20,5,10,128,0.1,0,0.0,0.75
129,False,0.6734693646430969,20,5,10,128,0.1,0,0.0,0.75
130,False,0.8024691343307495,20,5,10,128,0.1,0,0.0,0.75
131,False,0.1428571343421936,20,5,10,128,0.1,0,0.0,0.75
132,False,0.4050000011920929,20,5,10,128,0.1,0,0.0,0.75
133,False,0.8725000023841858,20,5,10,128,0.1,0,0.0,0.75
134,False,0.9102564454078674,20,5,10,128,0.1,0,0.0,0.75
135,False,0.6399999856948853,20,5,10,128,0.1,0,0.0,0.75
136,False,0.7777777910232544,20,5,10,128,0.1,0,0.0,0.75
137,False,0.4444444477558136,20,5,10,128,0.1,0,0.0,0.75
138,False,0.0,20,5,10,128,0.1,0,0.0,0.75
139,False,0.23828125,20,5,10,128,0.1,0,0.0,0.75
140,False,0.9466667175292969,20,5,10,128,0.1,0,0.0,0.75
141,False,0.0,20,5,10,128,0.1,0,0.0,0.75
142,False,0.8300653696060181,20,5,10,128,0.1,0,0.0,0.75
143,False,0.29249998927116394,20,5,10,128,0.1,0,0.0,0.75
144,False,0.3176470696926117,20,5,10,128,0.1,0,0.0,0.75
145,False,0.7692307829856873,20,5,10,128,0.1,0,0.0,0.75
146,False,0.3199999928474426,20,5,10,128,0.1,0,0.0,0.75
147,False,0.4082840383052826,20,5,10,128,0.1,0,0.0,0.75
148,False,0.6200000047683716,20,5,10,128,0.1,0,0.0,0.75
149,False,0.0,20,5,10,128,0.1,0,0.0,0.75
150,False,0.8399999737739563,20,5,10,128,0.1,0,0.0,0.75
151,False,0.8660714626312256,20,5,10,128,0.1,0,0.0,0.75
152,False,0.7268908023834229,20,5,10,128,0.1,0,0.0,0.75
153,False,0.65625,20,5,10,128,0.1,0,0.0,0.75
154,False,0.7009804248809814,20,5,10,128,0.1,0,0.0,0.75
155,False,0.699999988079071,20,5,10,128,0.1,0,0.0,0.75
156,False,0.8752834796905518,20,5,10,128,0.1,0,0.0,0.75
157,False,0.7936508655548096,20,5,10,128,0.1,0,0.0,0.75
158,False,0.6964285969734192,20,5,10,128,0.1,0,0.0,0.75
159,False,0.9099999666213989,20,5,10,128,0.1,0,0.0,0.75
