task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
1,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
2,False,0.9300000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
3,False,0.6172839403152466,False,4,20,5,10,128,0.1,0,0.0,0.75
4,False,0.4444444477558136,False,4,20,5,10,128,0.1,0,0.0,0.75
5,False,0.75,False,4,20,5,10,128,0.1,0,0.0,0.75
6,False,0.88165682554245,False,4,20,5,10,128,0.1,0,0.0,0.75
7,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
8,False,0.8544891476631165,False,4,20,5,10,128,0.1,0,0.0,0.75
9,False,0.6730083227157593,False,4,20,5,10,128,0.1,0,0.0,0.75
10,False,0.598901093006134,False,4,20,5,10,128,0.1,0,0.0,0.75
11,False,0.429999977350235,False,4,20,5,10,128,0.1,0,0.0,0.75
12,False,0.2222222238779068,False,4,20,5,10,128,0.1,0,0.0,0.75
13,False,0.5833333134651184,False,4,20,5,10,128,0.1,0,0.0,0.75
14,False,0.7099999785423279,False,4,20,5,10,128,0.1,0,0.0,0.75
15,False,0.9033333659172058,False,4,20,5,10,128,0.1,0,0.0,0.75
16,False,0.8044444918632507,False,4,20,5,10,128,0.1,0,0.0,0.75
17,False,0.8999999761581421,False,4,20,5,10,128,0.1,0,0.0,0.75
18,False,0.841269850730896,False,4,20,5,10,128,0.1,0,0.0,0.75
19,False,0.8904762268066406,False,4,20,5,10,128,0.1,0,0.0,0.75
20,False,0.7599999904632568,False,4,20,5,10,128,0.1,0,0.0,0.75
21,False,0.5555555820465088,False,4,20,5,10,128,0.1,0,0.0,0.75
22,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
23,False,0.8333333134651184,False,4,20,5,10,128,0.1,0,0.0,0.75
24,False,0.9099999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
25,False,0.6000000238418579,False,4,20,5,10,128,0.1,0,0.0,0.75
26,False,0.5778546929359436,False,4,20,5,10,128,0.1,0,0.0,0.75
27,False,0.8235294222831726,False,4,20,5,10,128,0.1,0,0.0,0.75
28,False,0.4197530746459961,False,4,20,5,10,128,0.1,0,0.0,0.75
29,False,0.859649121761322,False,4,20,5,10,128,0.1,0,0.0,0.75
30,False,0.7699999809265137,False,4,20,5,10,128,0.1,0,0.0,0.75
31,False,0.8263888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
32,False,0.6599999666213989,False,4,20,5,10,128,0.1,0,0.0,0.75
33,False,0.20408162474632263,False,4,20,5,10,128,0.1,0,0.0,0.75
34,False,0.8967611789703369,False,4,20,5,10,128,0.1,0,0.0,0.75
35,False,0.9723183512687683,False,4,20,5,10,128,0.1,0,0.0,0.75
36,False,0.41826924681663513,False,4,20,5,10,128,0.1,0,0.0,0.75
37,False,0.48051947355270386,False,4,20,5,10,128,0.1,0,0.0,0.75
38,False,0.46153849363327026,False,4,20,5,10,128,0.1,0,0.0,0.75
39,False,0.6875,False,4,20,5,10,128,0.1,0,0.0,0.75
40,False,0.737500011920929,False,4,20,5,10,128,0.1,0,0.0,0.75
41,False,0.9333333373069763,False,4,20,5,10,128,0.1,0,0.0,0.75
42,False,0.7866666913032532,False,4,20,5,10,128,0.1,0,0.0,0.75
43,False,0.019999999552965164,False,4,20,5,10,128,0.1,0,0.0,0.75
44,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
45,False,0.8934911489486694,False,4,20,5,10,128,0.1,0,0.0,0.75
46,False,0.5308641791343689,False,4,20,5,10,128,0.1,0,0.0,0.75
47,False,0.8299999833106995,False,4,20,5,10,128,0.1,0,0.0,0.75
48,False,0.7199999690055847,False,4,20,5,10,128,0.1,0,0.0,0.75
49,False,0.7199999690055847,False,4,20,5,10,128,0.1,0,0.0,0.75
50,False,0.4266666769981384,False,4,20,5,10,128,0.1,0,0.0,0.75
51,False,0.49222221970558167,False,4,20,5,10,128,0.1,0,0.0,0.75
52,False,0.0,False,4,20,5,10,128,0.1,0,0.0,0.75
53,False,0.8888888955116272,False,4,20,5,10,128,0.1,0,0.0,0.75
54,False,0.9834710359573364,False,4,20,5,10,128,0.1,0,0.0,0.75
55,False,0.6666666865348816,False,4,20,5,10,128,0.1,0,0.0,0.75
56,False,0.8472222089767456,False,4,20,5,10,128,0.1,0,0.0,0.75
57,False,0.8984375,False,4,20,5,10,128,0.1,0,0.0,0.75
58,False,0.8299999833106995,False,4,20,5,10,128,0.1,0,0.0,0.75
59,False,0.7205882668495178,False,4,20,5,10,128,0.1,0,0.0,0.75
60,False,0.7727273106575012,False,4,20,5,10,128,0.1,0,0.0,0.75
61,False,0.7400000095367432,False,4,20,5,10,128,0.1,0,0.0,0.75
62,False,0.9300000071525574,False,4,20,5,10,128,0.1,0,0.0,0.75
63,False,0.7450980544090271,False,4,20,5,10,128,0.1,0,0.0,0.75
64,False,0.48000001907348633,False,4,20,5,10,128,0.1,0,0.0,0.75
65,False,0.8928571343421936,False,4,20,5,10,128,0.1,0,0.0,0.75
66,False,0.8000000715255737,False,4,20,5,10,128,0.1,0,0.0,0.75
67,False,0.7400000095367432,False,4,20,5,10,128,0.1,0,0.0,0.75
68,False,0.857988178730011,False,4,20,5,10,128,0.1,0,0.0,0.75
69,False,0.043388426303863525,False,4,20,5,10,128,0.1,0,0.0,0.75
70,False,0.9102564454078674,False,4,20,5,10,128,0.1,0,0.0,0.75
71,False,0.9074074029922485,False,4,20,5,10,128,0.1,0,0.0,0.75
72,False,0.8909090757369995,False,4,20,5,10,128,0.1,0,0.0,0.75
73,False,0.8151261210441589,False,4,20,5,10,128,0.1,0,0.0,0.75
74,False,0.6959064602851868,False,4,20,5,10,128,0.1,0,0.0,0.75
75,False,0.8199999928474426,False,4,20,5,10,128,0.1,0,0.0,0.75
76,False,0.719008207321167,False,4,20,5,10,128,0.1,0,0.0,0.75
77,False,0.808080792427063,False,4,20,5,10,128,0.1,0,0.0,0.75
78,False,0.9652777910232544,False,4,20,5,10,128,0.1,0,0.0,0.75
79,False,0.7407407760620117,False,4,20,5,10,128,0.1,0,0.0,0.75
