task,solved,final_pixel_accuracy,scored_with_avg,pop_size,n_hidden_channels,temperature,steps,trials,learning_rate_max,learning_rate_min,mask_prob_low,mask_prob_high
119,False,0.6622222661972046,False,4,20,5,10,128,0.01,0,0.0,0.75
120,False,0.8958333730697632,False,4,20,5,10,128,0.01,0,0.0,0.75
121,False,0.8699690103530884,False,4,20,5,10,128,0.01,0,0.0,0.75
122,False,0.9375,False,4,20,5,10,128,0.01,0,0.0,0.75
123,False,0.8399999737739563,False,4,20,5,10,128,0.01,0,0.0,0.75
124,False,0.71875,False,4,20,5,10,128,0.01,0,0.0,0.75
125,False,0.6904761791229248,False,4,20,5,10,128,0.01,0,0.0,0.75
126,False,0.8571429252624512,False,4,20,5,10,128,0.01,0,0.0,0.75
127,False,0.8299999833106995,False,4,20,5,10,128,0.01,0,0.0,0.75
128,False,0.932330846786499,False,4,20,5,10,128,0.01,0,0.0,0.75
129,False,0.918367326259613,False,4,20,5,10,128,0.01,0,0.0,0.75
130,False,0.8395061492919922,False,4,20,5,10,128,0.01,0,0.0,0.75
131,False,0.22448979318141937,False,4,20,5,10,128,0.01,0,0.0,0.75
132,False,0.6649999618530273,False,4,20,5,10,128,0.01,0,0.0,0.75
133,False,0.8899999856948853,False,4,20,5,10,128,0.01,0,0.0,0.75
134,False,0.9166666865348816,False,4,20,5,10,128,0.01,0,0.0,0.75
135,False,0.7099999785423279,False,4,20,5,10,128,0.01,0,0.0,0.75
136,False,0.8641975522041321,False,4,20,5,10,128,0.01,0,0.0,0.75
137,False,0.6666666865348816,False,4,20,5,10,128,0.01,0,0.0,0.75
138,False,0.375,False,4,20,5,10,128,0.01,0,0.0,0.75
139,False,0.546875,False,4,20,5,10,128,0.01,0,0.0,0.75
140,False,0.9555555582046509,False,4,20,5,10,128,0.01,0,0.0,0.75
141,False,0.0,False,4,20,5,10,128,0.01,0,0.0,0.75
142,False,0.843137264251709,False,4,20,5,10,128,0.01,0,0.0,0.75
143,False,0.5649999976158142,False,4,20,5,10,128,0.01,0,0.0,0.75
144,False,0.5529412031173706,False,4,20,5,10,128,0.01,0,0.0,0.75
145,False,0.9053254723548889,False,4,20,5,10,128,0.01,0,0.0,0.75
146,False,0.8299999833106995,False,4,20,5,10,128,0.01,0,0.0,0.75
147,False,0.9452663064002991,False,4,20,5,10,128,0.01,0,0.0,0.75
148,False,0.7899999618530273,False,4,20,5,10,128,0.01,0,0.0,0.75
149,False,0.6844444870948792,False,4,20,5,10,128,0.01,0,0.0,0.75
150,False,0.7599999904632568,False,4,20,5,10,128,0.01,0,0.0,0.75
151,False,0.8035714626312256,False,4,20,5,10,128,0.01,0,0.0,0.75
152,False,0.890756368637085,False,4,20,5,10,128,0.01,0,0.0,0.75
153,False,0.944444477558136,False,4,20,5,10,128,0.01,0,0.0,0.75
154,False,0.7009804248809814,False,4,20,5,10,128,0.01,0,0.0,0.75
155,False,0.5899999737739563,False,4,20,5,10,128,0.01,0,0.0,0.75
156,False,0.9024943709373474,False,4,20,5,10,128,0.01,0,0.0,0.75
157,False,0.7936508655548096,False,4,20,5,10,128,0.01,0,0.0,0.75
158,False,0.7500000596046448,False,4,20,5,10,128,0.01,0,0.0,0.75
159,False,0.9599999785423279,False,4,20,5,10,128,0.01,0,0.0,0.75
160,False,0.8753462433815002,False,4,20,5,10,128,0.01,0,0.0,0.75
161,False,0.9066666960716248,False,4,20,5,10,128,0.01,0,0.0,0.75
162,False,0.8166666626930237,False,4,20,5,10,128,0.01,0,0.0,0.75
163,False,0.7733333706855774,False,4,20,5,10,128,0.01,0,0.0,0.75
164,False,0.6200000047683716,False,4,20,5,10,128,0.01,0,0.0,0.75
165,False,0.9174999594688416,False,4,20,5,10,128,0.01,0,0.0,0.75
166,False,0.8299999833106995,False,4,20,5,10,128,0.01,0,0.0,0.75
167,False,0.9375,False,4,20,5,10,128,0.01,0,0.0,0.75
168,False,0.7099999785423279,False,4,20,5,10,128,0.01,0,0.0,0.75
169,False,0.800000011920929,False,4,20,5,10,128,0.01,0,0.0,0.75
170,False,0.7421053051948547,False,4,20,5,10,128,0.01,0,0.0,0.75
171,False,0.6599999666213989,False,4,20,5,10,128,0.01,0,0.0,0.75
172,False,0.6734693646430969,False,4,20,5,10,128,0.01,0,0.0,0.75
