task,accuracy_delta
1,-0.1111111119389534
2,-0.009999990463256836
3,-0.012345671653747559
4,-0.04938271641731262
5,-0.027777791023254395
6,0.011834323406219482
7,-0.1111111044883728
8,-0.009287893772125244
9,-0.21640902757644653
10,-0.285714328289032
11,0.009999990463256836
12,-0.2222222238779068
13,-0.05555558204650879
14,0.0
15,0.043333351612091064
16,-0.04444444179534912
17,0.0
18,-0.0045351386070251465
19,-0.014285683631896973
20,-0.009999990463256836
21,-0.06172835826873779
22,0.0
23,0.0
24,0.029999971389770508
25,-0.25
26,0.0069203972816467285
27,-0.09803920984268188
28,-0.45679014921188354
29,0.0250626802444458
30,0.029999971389770508
31,-0.06944441795349121
32,-0.020000040531158447
33,-0.10204082727432251
34,0.03238868713378906
35,0.02076125144958496
36,-0.16826924681663513
37,-0.3246753215789795
38,-0.017094016075134277
39,-0.03515625
40,-0.1625000238418579
41,0.03333330154418945
42,0.0
43,-0.5199999623000622
44,0.009999990463256836
45,0.0414201021194458
46,-0.3827160596847534
47,-0.08749997615814209
48,-0.06999999284744263
49,-0.06000000238418579
50,-0.30666667222976685
51,-0.1344444453716278
52,0.0
53,0.012345671653747559
54,0.024793386459350586
55,-0.06944441795349121
56,0.0763888955116272
57,0.01171875
58,-0.12000000476837158
59,-0.07352936267852783
60,0.011363625526428223
61,-0.1199999451637268
62,0.020000040531158447
63,-0.039215683937072754
64,-0.29333335161209106
65,-0.011904776096343994
66,-0.06666666269302368
67,-0.16999995708465576
68,0.0059171319007873535
69,-0.8099173307418823
70,0.04487180709838867
71,-0.015432119369506836
72,-0.009090900421142578
73,-0.11764705181121826
74,-0.17251461744308472
75,0.3199999928474426
76,0.1735537052154541
77,-0.03030306100845337
78,0.020833313465118408
79,0.024691402912139893
80,0.08000004291534424
81,0.020000040531158447
82,0.017361104488372803
83,0.0
84,0.0
85,-0.009999990463256836
86,-0.0075757503509521484
87,-0.13580244779586792
88,-0.02222222089767456
89,0.020000040531158447
90,0.009999990463256836
91,-0.7375000566244125
92,-0.13333332538604736
93,0.009090900421142578
94,0.05555558204650879
95,0.012345671653747559
96,-0.24691355228424072
97,0.3333333432674408
98,-0.006734013557434082
99,-0.2013888955116272
100,-0.028011202812194824
101,0.0
102,-0.023809492588043213
103,-0.08571428060531616
104,-0.009999990463256836
105,-0.07653060555458069
106,-0.38333335146307945
107,0.0
108,0.08000004291534424
109,-0.111111119389534
110,-0.050000011920928955
111,-0.07070702314376831
112,-0.18431377410888672
113,-0.011342108249664307
114,-0.20999997854232788
115,-0.05023926496505737
116,-0.6666666865348816
117,-0.1818181574344635
118,-0.039999961853027344
119,-0.6711111068725586
120,0.03125
121,-0.8513931818306446
122,-0.5625
123,-0.07999998331069946
124,-0.4140625
125,-0.2380952537059784
126,0.0
127,-0.04000002145767212
128,-0.1203007698059082
129,0.061224520206451416
130,0.049382686614990234
131,-0.1836734674870968
132,0.0
133,0.010000050067901611
134,0.0
135,0.050000011920928955
136,-0.012345671653747559
137,-0.05555558204650879
138,0.0
139,-0.1953125
140,0.017777740955352783
141,-0.1111111119389534
142,0.013071894645690918
143,-0.28999999165534973
144,0.011764705181121826
145,-0.011834323406219482
146,-0.1899999976158142
147,-0.21745562553405762
148,0.029999971389770508
149,-0.533333346247673
150,-0.039999961853027344
151,-0.02232140302658081
152,-0.012605011463165283
153,-0.2222222089767456
154,-0.014705896377563477
155,0.10000002384185791
156,-0.006802737712860107
157,-0.019841313362121582
158,-0.017857134342193604
159,-0.04000002145767212
160,0.0
161,-0.04000002145767212
162,-0.21222221851348877
163,0.02222222089767456
164,-0.019999980926513672
165,-0.1274999976158142
166,-0.06000000238418579
167,-0.006944417953491211
168,-0.04000002145767212
169,-0.18222224712371826
170,-0.00350874662399292
171,0.10999995470046997
172,-0.16836735606193542
