task,accuracy_delta
1,-0.1111111119389534
2,-0.009999990463256836
3,-0.012345671653747559
4,0.012345671653747559
5,0.027777791023254395
6,0.011834323406219482
7,0.0
8,0.00309598445892334
9,-0.5612366199493408
10,-0.1648351550102234
11,0.009999990463256836
12,-0.1111111044883728
13,0.0
14,0.0
15,-0.5333333313465118
16,0.03555554151535034
17,0.04000002145767212
18,0.0158730149269104
19,-0.08571428060531616
20,-0.009999990463256836
21,-0.06172835826873779
22,0.0
23,0.0
24,0.029999971389770508
25,0.0
26,0.0069203972816467285
27,-0.09803920984268188
28,-0.04938274621963501
29,0.0250626802444458
30,0.029999971389770508
31,-0.07638883590698242
32,0.06999999284744263
33,0.020408153533935547
34,0.02226722240447998
35,0.02076125144958496
36,0.08173078298568726
37,-0.5064935088157654
38,0.008547008037567139
39,-0.0234375
40,-0.07500004768371582
41,0.03333330154418945
42,0.1066666841506958
43,-0.5199999623000622
44,0.009999990463256836
45,0.06508874893188477
46,-0.43209874629974365
47,0.05750000476837158
48,0.06999999284744263
49,-0.019999980926513672
50,0.026666641235351562
51,-0.1344444453716278
52,0.0
53,0.049382686614990234
54,0.0165289044380188
55,-0.013888895511627197
56,0.15972226858139038
57,0.015625
58,0.009999990463256836
59,0.029411792755126953
60,-0.03409093618392944
61,-0.1199999451637268
62,0.020000040531158447
63,-0.45098039507865906
64,-0.1066666841506958
65,-0.005952358245849609
66,-0.06666666269302368
67,-0.16999995708465576
68,0.02366858720779419
69,-0.8181817904114723
70,0.04487180709838867
71,0.009259223937988281
72,-0.009090900421142578
73,-0.09243696928024292
74,0.0
75,0.3199999928474426
76,0.24793386459350586
77,-0.020202040672302246
78,0.020833313465118408
79,0.0
80,-0.2399999499320984
81,0.04000002145767212
82,0.029513835906982422
83,0.0
84,0.0
85,0.009999990463256836
86,0.007575809955596924
87,-0.08641970157623291
88,-0.02222222089767456
89,0.009999990463256836
90,0.009999990463256836
91,-0.7375000566244125
92,0.3333333730697632
93,0.027272701263427734
94,0.0
95,0.012345671653747559
96,-0.18518519401550293
97,0.3333333432674408
98,-0.006734013557434082
99,-0.006944417953491211
100,0.014005601406097412
101,0.020408213138580322
102,0.007936537265777588
103,-0.04999995231628418
104,0.0
105,-0.08163264766335487
106,-0.28333334624767303
107,0.0
108,0.08000004291534424
109,-0.111111119389534
110,-0.010000050067901611
111,-0.04040402173995972
112,-0.19607847929000854
113,-0.011342108249664307
114,0.1300000548362732
115,0.019138753414154053
116,0.0
117,-0.041322290897369385
118,0.010000050067901611
119,-0.20888888835906982
120,0.03125
121,-0.4551083743572235
122,-0.5625
123,-0.07999998331069946
124,-0.16796875
125,-0.2380952537059784
126,0.0317460298538208
127,-0.04000002145767212
128,0.0225563645362854
129,0.08163267374038696
130,0.07407402992248535
131,-0.04081632196903229
132,0.0
133,0.020000040531158447
134,0.00641024112701416
135,0.06000000238418579
136,-0.08641976118087769
137,-0.05555558204650879
138,-0.125
139,-0.0859375
140,0.026666641235351562
141,-0.1111111119389534
142,0.013071894645690918
143,-0.2849999964237213
144,0.011764705181121826
145,-0.01775151491165161
146,0.009999990463256836
147,-0.5355030000209808
148,-0.25999999046325684
149,0.07555556297302246
150,-0.039999961853027344
151,0.031250059604644775
152,-0.02100837230682373
153,-0.041666626930236816
154,0.0
155,-0.019999980926513672
156,0.0
157,0.027777791023254395
158,0.0
159,0.0
160,0.002770066261291504
161,0.039999961853027344
162,-0.14777779579162598
163,0.02222222089767456
164,0.0
165,-0.1274999976158142
166,0.019999980926513672
167,0.0625
168,0.019999980926513672
169,-0.14222222566604614
170,0.0035088062286376953
171,0.24999994039535522
172,0.04591834545135498
