task,solved,final_pixel_accuracy,n_hidden_channels,temperature,steps,trials,learning_rate,mask_prob_low,mask_prob_high
1,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
2,True,1.0,20,5,10,128,0.002,0.0,0.75
3,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
4,True,1.0,20,5,10,128,0.002,0.0,0.75
5,False,0.8333333134651184,20,5,10,128,0.002,0.0,0.75
6,False,0.8934911489486694,20,5,10,128,0.002,0.0,0.75
7,False,0.7777777910232544,20,5,10,128,0.002,0.0,0.75
8,False,0.8699690103530884,20,5,10,128,0.002,0.0,0.75
9,False,0.5814506411552429,20,5,10,128,0.002,0.0,0.75
10,False,0.9670329689979553,20,5,10,128,0.002,0.0,0.75
11,False,0.7799999713897705,20,5,10,128,0.002,0.0,0.75
12,False,0.6666666865348816,20,5,10,128,0.002,0.0,0.75
13,False,0.3333333432674408,20,5,10,128,0.002,0.0,0.75
14,False,0.85999995470047,20,5,10,128,0.002,0.0,0.75
15,False,0.26777777075767517,20,5,10,128,0.002,0.0,0.75
16,False,0.9422222375869751,20,5,10,128,0.002,0.0,0.75
17,False,0.9599999785423279,20,5,10,128,0.002,0.0,0.75
18,False,0.7913832068443298,20,5,10,128,0.002,0.0,0.75
19,False,0.8761904835700989,20,5,10,128,0.002,0.0,0.75
20,False,0.8100000023841858,20,5,10,128,0.002,0.0,0.75
21,True,1.0,20,5,10,128,0.002,0.0,0.75
22,False,0.9799999594688416,20,5,10,128,0.002,0.0,0.75
23,False,0.8611111044883728,20,5,10,128,0.002,0.0,0.75
24,False,0.9799999594688416,20,5,10,128,0.002,0.0,0.75
25,False,0.949999988079071,20,5,10,128,0.002,0.0,0.75
26,False,0.5155709385871887,20,5,10,128,0.002,0.0,0.75
27,False,0.9803922176361084,20,5,10,128,0.002,0.0,0.75
28,False,0.9259259104728699,20,5,10,128,0.002,0.0,0.75
29,False,0.8220551609992981,20,5,10,128,0.002,0.0,0.75
30,True,1.0,20,5,10,128,0.002,0.0,0.75
31,False,0.7013888955116272,20,5,10,128,0.002,0.0,0.75
32,False,0.8399999737739563,20,5,10,128,0.002,0.0,0.75
33,False,0.18367347121238708,20,5,10,128,0.002,0.0,0.75
34,False,0.9372469782829285,20,5,10,128,0.002,0.0,0.75
35,True,1.0,20,5,10,128,0.002,0.0,0.75
36,False,0.6682692766189575,20,5,10,128,0.002,0.0,0.75
37,True,1.0,20,5,10,128,0.002,0.0,0.75
